"norm_v1","ind_v1","average_score_v1","score_v1","prev_score_v1","mathscore_v1","funding_v1","year_v1","distid_v1","pct_wh_v1","pct_hi_v1","pct_aa_v1","percentfrl_v1","frl_bin_v1","fte_t_v1","fte_a_v1","fte_p_v1","yrs_teach_v1"
-51,1,-1.42181794441514,315.470257088543,-0.7938218829766,-1.18342354414852,96.9,2006,3066423,6.53999996185303,76.3099975585938,4.05999994277954,0.806282699108124,3,37,2,1,3
-15,1,-1.03252077098779,321.445079163623,-0.564963789003498,-0.420750023398726,96.9,2009,3968676,11.1899995803833,52.9599990844727,10.6499996185303,0.885444760322571,3,35,2,0,3
-21,1,-0.0466819861771612,336.575451886596,-0.590299350847171,-0.160732495290339,96.9,2009,1964907,5.07000017166138,89.0100021362305,2.53999996185303,0.915492951869965,3,19,1,0,4
-46,1,-0.237115953823649,333.652725621409,-0.947224996773959,-0.276035897857683,96.9,2008,4369369,1.23000001907349,87.4100036621094,3.46000003814697,0.992592573165894,3,21,1,0,3
-40,1,-1.25068767788325,318.096715650231,-1.06864593335579,-0.833502783313708,96.9,2006,3567470,10.4899997711182,85.9700012207031,0.680000007152557,0.720708429813385,3,36.3000000119209,2,1,4
-36,1,0.495330578949464,344.894106272339,0.0792864903005701,0.356628858837914,96.9,2009,1964733,0.370000004768372,99.1500015258789,0.239999994635582,0.92804878950119,3,43,3,0,3
-46,1,-0.791138838261041,325.149740277609,-1.3894586967362,-0.208859132883665,96.9,2008,1964733,0.259999990463257,76.4899978637695,23,0.839793264865875,3,22,3,0,3
-26,1,-1.13144060126874,319.926885798841,-1.56216872223678,-0.958030458086439,96.9,2005,1563321,20.6700000762939,73.1100006103516,2.67000007629395,0.918888866901398,3,42.839999973774,2,2,3
-15,1,0.379349579455935,343.114062944609,-0.0951552101552307,0.366254186356581,96.9,2009,1964642,12.460000038147,73.4400024414062,9.84000015258789,0.839344263076782,3,15,1,0,2
-8,1,-1.3859389153886,316.020918201166,-0.827995346828555,-1.09051239657251,96.9,2009,1563370,10.6199998855591,87.8199996948242,1.29999995231628,0.90155440568924,3,23,2,0.469999998807907,3
-17,1,-0.838775630084072,324.418624372337,-0.913058689585393,-0.685312845057592,96.9,2005,5472256,13.460000038147,81.2699966430664,2.36999988555908,0.825857520103455,3,17.8000000119209,1,0,4
-16,1,-0.366429345706123,331.668060534785,-0.919623714556263,-0.0123420293775826,96.9,2006,1964733,0.0799999982118607,94.8600006103516,2.5,0.909228444099426,3,66,5,0,4
-5,1,1.2076018267943,355.825842399783,0.277222709976369,0.78709489508933,96.9,2008,4369542,2.39000010490417,87.870002746582,2.21000003814697,0.772058844566345,3,26,3,1,2
-7,1,-0.180469830588162,334.522114177702,-0.262537225402183,-0.406980457642854,96.9,2009,1964907,1.29999995231628,93.6100006103516,3.78999996185303,0.943661987781525,3,41,2,0,4
-36,1,-0.864588243422364,324.022459738951,-0.884870362258818,-0.431444831752798,96.9,2006,1964873,9.26000022888184,60.8300018310547,20.5100002288818,0.727920234203339,3,35,2,1,3
-90,1,-1.39687236891874,315.853114672222,-1.55643323605944,-0.939581913675665,96.9,2008,1062166,1.61000001430511,58.8499984741211,7.36999988555908,0.955764055252075,3,37,3,0,3
-60,1,0.209453451960823,340.506545597151,-0.168416573383965,0.160111755331834,96.9,2009,3467439,3.24000000953674,45.9500007629395,24.0900001525879,0.886639654636383,3,27,1,3,2
-53,1,-2.04918178741811,305.841655613531,-1.88054088459084,-1.5193073690186,96.9,2006,3667876,3.02999997138977,81.8199996948242,12.6300001144409,0.894949495792389,3,53,3,1,2
